N,lam,exec_time,succeed
20,112,0.7967,1
20,112,0.8018,1
20,112,0.7826,1
20,112,0.7794,1
20,112,0.7844,1
20,112,0.7917,1
20,112,0.8019,1
20,112,0.7834,1
20,112,0.7825,1
20,112,0.7933,1
20,112,0.7935,1
20,112,0.7901,1
20,112,0.7890,1
20,112,0.8053,1
20,112,0.7881,1
20,112,0.7925,1
20,112,0.7911,1
20,112,0.7833,1
20,112,0.7955,1
20,112,0.7856,1
20,112,0.7818,1
20,112,0.7812,1
20,112,0.7785,1
20,112,0.7805,1
20,112,0.7740,1
20,112,0.8037,1
20,112,0.7919,1
20,112,0.8025,1
20,112,0.7985,1
20,112,0.7924,1
20,112,0.8036,1
20,112,0.8013,1
20,112,0.7814,1
20,112,0.7908,1
20,112,0.7905,1
20,112,0.8241,1
20,112,0.7970,1
20,112,0.7770,1
20,112,0.7766,1
20,112,0.7798,1
20,112,0.7678,1
20,112,0.7783,1
20,112,0.7859,1
20,112,0.7832,1
20,112,0.7711,1
20,112,0.7744,1
20,112,0.7871,1
20,112,0.8042,1
20,112,0.8216,1
20,112,0.8103,1
20,112,0.8093,1
20,112,0.8111,1
20,112,0.7929,1
20,112,0.7967,1
20,112,0.7835,1
20,112,0.7956,1
20,112,0.8051,1
20,112,0.7913,1
20,112,0.8080,1
20,112,0.8118,1
20,112,0.8065,1
20,112,0.7906,1
20,112,0.7967,1
50,112,7.6085,1
50,112,7.7201,1
50,112,7.7775,1
50,112,7.7282,1
50,112,7.5797,1
50,112,7.6723,1
50,112,7.6672,1
50,112,7.7405,1
50,112,7.7196,1
50,112,7.7088,1
50,112,7.5846,1
50,112,7.7399,1
50,112,7.8127,1
50,112,7.9643,1
50,112,7.9416,1
50,112,7.9100,1
50,112,7.9264,1
50,112,7.8753,1
50,112,7.7117,1
50,112,7.7324,1
50,112,7.8275,1
50,112,7.7443,1
50,112,7.6307,1
50,112,7.7591,1
50,112,7.5950,1
50,112,7.7091,1
50,112,7.7895,1
50,112,7.6264,1
50,112,7.6531,1
50,112,7.6407,1
50,112,7.7097,1
50,112,7.6426,1
50,112,7.6600,1
50,112,7.7790,1
50,112,7.6962,1
50,112,7.6694,1
50,112,7.7367,1
50,112,7.8967,1
50,112,7.7124,1
50,112,7.7846,1
50,112,7.6984,1
50,112,7.7656,1
50,112,7.7227,1
50,112,7.7678,1
50,112,7.6994,1
50,112,7.7590,1
50,112,7.8999,1
50,112,7.9248,1
50,112,7.8115,1
50,112,7.6720,1
10,128,0.2524,1
10,128,0.2516,1
10,128,0.2560,1
10,128,0.2519,1
10,128,0.2523,1
10,128,0.2462,1
10,128,0.2565,1
10,128,0.2543,1
10,128,0.2538,1
10,128,0.2488,1
10,128,0.2528,1
10,128,0.2483,1
10,128,0.2498,1
10,128,0.2529,1
10,128,0.2546,1
10,128,0.2529,1
10,128,0.2567,1
10,128,0.2592,1
10,128,0.2502,1
10,128,0.2557,1
10,128,0.2521,1
10,128,0.2541,1
10,128,0.2518,1
10,128,0.2568,1
10,128,0.2515,1
10,128,0.2484,1
10,128,0.2528,1
10,128,0.2604,1
10,128,0.2556,1
10,128,0.2521,1
10,128,0.2527,1
10,128,0.2576,1
10,128,0.2576,1
10,128,0.2518,1
10,128,0.2545,1
10,128,0.2557,1
10,128,0.2473,1
10,128,0.2581,1
10,128,0.2568,1
10,128,0.2556,1
10,128,0.2524,1
10,128,0.2574,1
10,128,0.2533,1
10,128,0.2488,1
10,128,0.2557,1
10,128,0.2460,1
10,128,0.2551,1
10,128,0.2533,1
10,128,0.2470,1
10,128,0.2461,1
10,128,0.2482,1
10,128,0.2511,1
10,128,0.2522,1
10,128,0.2532,1
10,128,0.2527,1
10,128,0.2555,1
10,128,0.2595,1
10,128,0.2550,1
10,128,0.2463,1
10,128,0.2463,1
10,128,0.2532,1
10,128,0.2550,1
10,128,0.2539,1
10,128,0.2562,1
10,128,0.2579,1
10,128,0.2510,1
10,128,0.2569,1
10,128,0.2581,1
10,128,0.2493,1
10,128,0.2552,1
10,128,0.2512,1
10,128,0.2608,1
10,128,0.2591,1
10,128,0.2608,1
10,128,0.2522,1
10,128,0.2614,1
10,128,0.2561,1
10,128,0.2538,1
10,128,0.2499,1
10,128,0.2517,1
10,128,0.2523,1
10,128,0.2505,1
10,128,0.2485,1
10,128,0.2538,1
10,128,0.2520,1
10,128,0.2513,1
10,128,0.2488,1
10,128,0.2588,1
10,128,0.2499,1
10,128,0.2587,1
10,128,0.2515,1
10,128,0.2575,1
10,128,0.2539,1
10,128,0.2531,1
10,128,0.2491,1
10,128,0.2546,1
10,128,0.2526,1
10,128,0.2489,1
10,128,0.2477,1
10,128,0.2513,1
20,128,1.1608,1
20,128,1.1493,1
20,128,1.1661,1
20,128,1.1471,1
20,128,1.1498,1
20,128,1.1519,1
20,128,1.1458,1
20,128,1.1605,1
20,128,1.1683,1
20,128,1.1461,1
20,128,1.1536,1
20,128,1.1341,1
20,128,1.1486,1
20,128,1.1317,1
20,128,1.1293,1
20,128,1.1610,1
20,128,1.1409,1
20,128,1.1434,1
